Survey,skdatecompletedqx,orders,email_send,email_clicks,complete_total
Omni,1/1/2018,11287,6205,3845,154
Omni,1/2/2018,10664,6432,3963,166
Omni,1/3/2018,11845,6431,3816,151
Omni,1/4/2018,10004,5232,3089,74
Omni,1/5/2018,10067,8808,3880,700
Omni,1/6/2018,11087,9517,3094,237
Omni,1/7/2018,11667,7564,3319,164
Omni,1/8/2018,11081,8793,3929,550
Omni,1/9/2018,11156,7032,3587,486
Omni,1/10/2018,10197,8644,3729,126
Omni,1/11/2018,10662,6525,3358,130
Omni,1/12/2018,10054,9625,3035,12
Omni,1/13/2018,10245,7663,3604,573
Omni,1/14/2018,11708,9348,3946,324
Omni,1/15/2018,11811,6510,3584,137
Omni,1/16/2018,11753,5154,3639,762
Omni,1/17/2018,10244,9918,3377,8
Omni,1/18/2018,11170,7057,3026,524
Omni,1/19/2018,10159,9579,3580,849
Omni,1/20/2018,10479,6953,3321,307
Omni,1/21/2018,11011,6602,3605,179
Omni,1/22/2018,10476,9902,3948,339
Omni,1/23/2018,11791,6887,3988,582
Omni,1/24/2018,10242,6663,3213,568
Omni,1/25/2018,11978,6727,3592,391
Omni,1/26/2018,10442,5609,3312,292
Omni,1/27/2018,11497,6207,3726,117
Omni,1/28/2018,11700,5243,3996,483
Omni,1/29/2018,11789,6805,3473,60
Omni,1/30/2018,11959,7766,3595,759
Omni,1/31/2018,11205,9351,3089,918
Omni,2/1/2018,11843,8720,3614,577
Omni,2/2/2018,10905,9474,3207,396
Omni,2/3/2018,11836,8148,3466,625
Omni,2/4/2018,11495,8085,3434,18
Omni,2/5/2018,11416,6883,3564,740
Omni,2/6/2018,10614,7085,3285,440
Omni,2/7/2018,11051,7382,3799,927
Omni,2/8/2018,11783,7087,3197,917
Omni,2/9/2018,10805,8360,3199,327
Omni,2/10/2018,11745,6316,3207,75
Omni,2/11/2018,10457,6774,3283,492
Omni,2/12/2018,10889,6600,3829,676
Omni,2/13/2018,11244,6752,3344,80
Omni,2/14/2018,10192,6945,3144,150
Omni,2/15/2018,11617,9818,3435,651
Omni,2/16/2018,10403,9123,3099,716
Omni,2/17/2018,11358,8972,3861,147
Omni,2/18/2018,11688,7312,3979,507
Omni,2/19/2018,10886,7194,3248,260
Omni,2/20/2018,11391,9532,3632,177
Omni,2/21/2018,10232,7393,3704,969
Omni,2/22/2018,11300,7754,3965,650
Omni,2/23/2018,11912,9015,3069,546
Omni,2/24/2018,10436,5116,3370,831
Omni,2/25/2018,10182,6988,3335,316
Omni,2/26/2018,11508,5382,3598,548
Omni,2/27/2018,10262,7125,3817,314
Omni,2/28/2018,11476,6621,3184,174
Omni,3/1/2018,10595,6064,3178,610
Omni,3/2/2018,10380,7610,3898,786
Omni,3/3/2018,10490,6064,3386,122
Omni,3/4/2018,10944,8527,3474,922
Omni,3/5/2018,11690,8522,3616,59
Omni,3/6/2018,10891,5265,3525,979
Omni,3/7/2018,10987,9928,3705,104
Omni,3/8/2018,10674,6587,3723,494
Omni,3/9/2018,10988,6639,3938,894
Omni,3/10/2018,11169,5348,3560,580
Omni,3/11/2018,10640,6434,3349,285
Omni,3/12/2018,10422,6790,3064,170
Omni,3/13/2018,11308,8760,3544,864
Omni,3/14/2018,11252,6637,3249,895
Omni,3/15/2018,11842,8078,3736,862
Omni,3/16/2018,11860,6780,3915,531
Omni,3/17/2018,11568,6346,3782,166
Omni,3/18/2018,10398,5429,3899,709
Omni,3/19/2018,10385,9460,3221,640
Omni,3/20/2018,11086,9117,3423,869
Omni,3/21/2018,11815,7916,3801,58
Omni,3/22/2018,11849,6218,3763,147
Omni,3/23/2018,11339,9333,3771,388
Omni,3/24/2018,10609,7257,3687,736
Omni,3/25/2018,10669,5227,3274,351
Omni,3/26/2018,10577,5979,3804,876
Omni,3/27/2018,11621,9186,3170,23
Omni,3/28/2018,10304,8399,3186,256
Omni,3/29/2018,10548,9443,3326,90
Omni,3/30/2018,11602,6909,3529,803
Omni,3/31/2018,11025,6297,3695,784
Omni,4/1/2018,11586,9437,3020,846
Omni,4/2/2018,11115,5655,3233,92
Omni,4/3/2018,11331,8909,3970,754
Omni,4/4/2018,11866,8352,3630,587
Omni,4/5/2018,10741,7551,3119,375
Omni,4/6/2018,10617,5409,3580,415
Omni,4/7/2018,11375,6950,3307,732
Omni,4/8/2018,11909,5469,3041,611
Omni,4/9/2018,11625,7473,3969,266
S2H,1/1/2018,10185,9045,3826,953
S2H,1/2/2018,11750,6247,3755,789
S2H,1/3/2018,10001,9006,3669,774
S2H,1/4/2018,11599,6548,3521,229
S2H,1/5/2018,11896,9988,3133,668
S2H,1/6/2018,10627,5456,3221,698
S2H,1/7/2018,11608,8826,3596,707
S2H,1/8/2018,11848,9175,3207,687
S2H,1/9/2018,10122,5998,3734,323
S2H,1/10/2018,10687,5482,3903,853
S2H,1/11/2018,10118,8208,3561,756
S2H,1/12/2018,10620,9875,3759,480
S2H,1/13/2018,10137,7758,3206,397
S2H,1/14/2018,10399,5514,3600,475
S2H,1/15/2018,11942,6924,3114,581
S2H,1/16/2018,10329,7693,3472,663
S2H,1/17/2018,11839,5700,3227,354
S2H,1/18/2018,10334,5604,3995,56
S2H,1/19/2018,11404,7873,3627,118
S2H,1/20/2018,11904,5266,3191,516
S2H,1/21/2018,10358,7050,3831,957
S2H,1/22/2018,11103,8729,3276,155
S2H,1/23/2018,11630,8080,3723,546
S2H,1/24/2018,10712,8807,3345,508
S2H,1/25/2018,10376,7965,3432,867
S2H,1/26/2018,11796,6962,3338,402
S2H,1/27/2018,11355,8950,3372,829
S2H,1/28/2018,10505,5269,3328,660
S2H,1/29/2018,10307,6717,3283,289
S2H,1/30/2018,10013,6291,3288,80
S2H,1/31/2018,10340,5067,3746,737
S2H,2/1/2018,11147,8980,3940,452
S2H,2/2/2018,10611,5603,3635,251
S2H,2/3/2018,10849,7001,3080,883
S2H,2/4/2018,10560,5377,3057,288
S2H,2/5/2018,10843,9586,3574,646
S2H,2/6/2018,11553,9692,3211,622
S2H,2/7/2018,11879,6770,3043,422
S2H,2/8/2018,11452,8163,3694,864
S2H,2/9/2018,11602,5434,3888,383
S2H,2/10/2018,10474,9942,3146,339
S2H,2/11/2018,10292,8623,3032,311
S2H,2/12/2018,10849,6320,3840,445
S2H,2/13/2018,11224,5988,3744,250
S2H,2/14/2018,11800,8530,3631,73
S2H,2/15/2018,10985,8950,3646,725
S2H,2/16/2018,11474,9040,3476,187
S2H,2/17/2018,11096,9117,3222,232
S2H,2/18/2018,10717,9908,3613,264
S2H,2/19/2018,11359,9198,3961,897
S2H,2/20/2018,11821,5173,3169,480
S2H,2/21/2018,10129,5750,3205,475
S2H,2/22/2018,11781,8026,3616,827
S2H,2/23/2018,10662,9542,3715,14
S2H,2/24/2018,10156,7612,3954,94
S2H,2/25/2018,10102,9464,3127,345
S2H,2/26/2018,10069,6101,3814,503
S2H,2/27/2018,11631,7481,3977,696
S2H,2/28/2018,10811,8526,3441,795
S2H,3/1/2018,10454,7207,3949,334
S2H,3/2/2018,11236,9682,3853,695
S2H,3/3/2018,11436,8850,3132,347
S2H,3/4/2018,11333,6199,3437,267
S2H,3/5/2018,11310,9003,3706,857
S2H,3/6/2018,10752,6666,3275,324
S2H,3/7/2018,11279,5857,3506,166
S2H,3/8/2018,10555,9616,3874,852
S2H,3/9/2018,10037,6808,3616,394
S2H,3/10/2018,10577,5974,3375,599
S2H,3/11/2018,10719,5360,3123,732
S2H,3/12/2018,10039,8793,3575,507
S2H,3/13/2018,11848,6768,3187,13
S2H,3/14/2018,10686,6989,3006,288
S2H,3/15/2018,11924,6021,3704,472
S2H,3/16/2018,10407,6938,3413,807
S2H,3/17/2018,10705,6955,3784,357
S2H,3/18/2018,11600,6727,3441,228
S2H,3/19/2018,11917,5363,3324,350
S2H,3/20/2018,11220,9796,3796,155
S2H,3/21/2018,11213,7599,3670,514
S2H,3/22/2018,11530,9173,3253,338
S2H,3/23/2018,10768,9639,3651,723
S2H,3/24/2018,11088,6869,3968,492
S2H,3/25/2018,11270,7013,3958,323
S2H,3/26/2018,10470,5770,3726,617
S2H,3/27/2018,10174,5586,3772,265
S2H,3/28/2018,10179,5604,3048,432
S2H,3/29/2018,11971,9009,3952,62
S2H,3/30/2018,10470,7894,3326,493
S2H,3/31/2018,11562,7983,3943,751
S2H,4/1/2018,10418,8577,3351,341
S2H,4/2/2018,11254,9129,3110,969
S2H,4/3/2018,10079,7760,3090,722
S2H,4/4/2018,10882,9214,3266,434
S2H,4/5/2018,11175,7256,3524,441
S2H,4/6/2018,11508,9367,3326,352
S2H,4/7/2018,11465,9872,3004,174
S2H,4/8/2018,11170,6433,3739,493
S2H,4/9/2018,11061,9517,3861,802
OGP,1/1/2018,10728,5725,3218,86
OGP,1/2/2018,11535,7123,3168,33
OGP,1/3/2018,10606,9798,3392,930
OGP,1/4/2018,11148,7359,3167,281
OGP,1/5/2018,10199,8901,3007,673
OGP,1/6/2018,10813,5150,3021,517
OGP,1/7/2018,11600,5418,3717,731
OGP,1/8/2018,11320,8325,3682,708
OGP,1/9/2018,11544,5924,3214,695
OGP,1/10/2018,11466,9268,3386,82
OGP,1/11/2018,10012,9292,3235,339
OGP,1/12/2018,10631,9117,3499,107
OGP,1/13/2018,11498,9367,3202,535
OGP,1/14/2018,10170,5229,3882,570
OGP,1/15/2018,11395,7555,3824,496
OGP,1/16/2018,11223,6809,3009,564
OGP,1/17/2018,10063,8461,3013,722
OGP,1/18/2018,10554,6652,3139,789
OGP,1/19/2018,10658,6107,3095,614
OGP,1/20/2018,11710,9281,3170,447
OGP,1/21/2018,11611,6376,3559,112
OGP,1/22/2018,11955,9960,3240,43
OGP,1/23/2018,11272,8683,3729,40
OGP,1/24/2018,11269,6363,3902,940
OGP,1/25/2018,10827,6314,3098,35
OGP,1/26/2018,10565,8031,3864,491
OGP,1/27/2018,11860,8117,3066,22
OGP,1/28/2018,10912,8654,3024,645
OGP,1/29/2018,10441,6054,3014,971
OGP,1/30/2018,11074,6398,3513,594
OGP,1/31/2018,10940,8927,3277,472
OGP,2/1/2018,10855,8847,3067,439
OGP,2/2/2018,11316,5187,3468,351
OGP,2/3/2018,11914,7676,3916,461
OGP,2/4/2018,11519,8547,3500,222
OGP,2/5/2018,10615,6554,3350,225
OGP,2/6/2018,11454,6160,3340,708
OGP,2/7/2018,11739,7762,3983,434
OGP,2/8/2018,10914,8546,3726,869
OGP,2/9/2018,10255,6786,3112,597
OGP,2/10/2018,10499,6358,3862,846
OGP,2/11/2018,11655,5698,3271,934
OGP,2/12/2018,10209,6333,3030,850
OGP,2/13/2018,10541,9569,3077,44
OGP,2/14/2018,11860,7319,3475,500
OGP,2/15/2018,10769,6631,3626,33
OGP,2/16/2018,11361,7656,3983,1
OGP,2/17/2018,10535,7050,3255,766
OGP,2/18/2018,10979,9809,3518,555
OGP,2/19/2018,11993,5860,3675,538
OGP,2/20/2018,11932,6451,3335,5
OGP,2/21/2018,11974,9272,3189,685
OGP,2/22/2018,10592,9526,3961,274
OGP,2/23/2018,11497,9843,3494,354
OGP,2/24/2018,10451,8573,3300,29
OGP,2/25/2018,10658,8581,3977,788
OGP,2/26/2018,11190,6306,3357,723
OGP,2/27/2018,11501,5794,3781,596
OGP,2/28/2018,10964,5673,3677,26
OGP,3/1/2018,11847,7412,3590,697
OGP,3/2/2018,10801,8260,3060,833
OGP,3/3/2018,11188,6007,3078,772
OGP,3/4/2018,10238,6394,3643,937
OGP,3/5/2018,11085,5383,3945,496
OGP,3/6/2018,11206,8996,3572,237
OGP,3/7/2018,11120,7906,3684,873
OGP,3/8/2018,11282,9610,3312,192
OGP,3/9/2018,11644,5141,3352,175
OGP,3/10/2018,10400,8108,3262,370
OGP,3/11/2018,11057,9981,3331,81
OGP,3/12/2018,11822,8396,3322,693
OGP,3/13/2018,11734,6372,3462,20
OGP,3/14/2018,11893,9358,3728,478
OGP,3/15/2018,10096,5830,3614,96
OGP,3/16/2018,11752,6439,3401,858
OGP,3/17/2018,10008,9217,3155,970
OGP,3/18/2018,11416,5158,3440,676
OGP,3/19/2018,11503,8396,3759,521
OGP,3/20/2018,11488,6256,3462,332
OGP,3/21/2018,11048,9517,3928,986
OGP,3/22/2018,10423,6690,3940,572
OGP,3/23/2018,11774,5570,3955,498
OGP,3/24/2018,10303,5162,3158,291
OGP,3/25/2018,11046,9920,3838,378
OGP,3/26/2018,10679,9857,3667,955
OGP,3/27/2018,10526,7941,3590,636
OGP,3/28/2018,10123,9663,3428,369
OGP,3/29/2018,10786,6532,3698,834
OGP,3/30/2018,11795,9538,3619,943
OGP,3/31/2018,11742,9017,3405,739
OGP,4/1/2018,11541,9041,3983,978
OGP,4/2/2018,10363,9278,3511,542
OGP,4/3/2018,11878,8495,3689,292
OGP,4/4/2018,11407,5295,3485,599
OGP,4/5/2018,11036,5190,3194,517
OGP,4/6/2018,10024,9893,3885,909
OGP,4/7/2018,11080,7348,3637,624
OGP,4/8/2018,10944,9820,3534,552
OGP,4/9/2018,10000,8795,3298,625
